pose_index,stamp_sec,stamp_nanosec,x_m,y_m,yaw_rad
468,186,500000000,1.858686232,2.635213227,3.088454364
469,186,700000000,1.834910042,2.636000463,3.092010190
470,186,800000000,1.810826095,2.636074346,3.098851181
471,186,968000000,1.790358910,2.636615207,3.100808043
472,187,100000000,1.756295194,2.636215133,3.112019072
473,187,168000000,1.729188934,2.636014488,3.118147675
474,187,205000000,1.706419754,2.636159837,3.120447451
475,187,268000000,1.670324042,2.635699307,3.128085365
476,187,300000000,1.649769504,2.634208853,3.139239191
477,187,334000000,1.622075642,2.630841749,-3.122813772
478,187,367000000,1.597672297,2.627781631,-3.106395078
479,187,434000000,1.554830790,2.624337624,-3.095518620
480,187,500000000,1.528104308,2.622883506,-3.093764577
481,187,634000000,1.507952423,2.621904523,-3.093601989
482,187,768000000,1.482662178,2.620678017,-3.093698720
483,187,868000000,1.453492423,2.619273301,-3.093749470
484,187,934000000,1.425909071,2.617938005,-3.093861745
485,188,0,1.395375728,2.616488388,-3.093786952
486,188,67000000,1.356861253,2.614626266,-3.093965961
487,188,100000000,1.335475054,2.613604068,-3.094011463
488,188,134000000,1.302449053,2.612034104,-3.094021229
489,188,167000000,1.275472130,2.610768478,-3.093849330
490,188,234000000,1.243942110,2.609287153,-3.093587323
491,188,300000000,1.210382708,2.607684538,-3.093494112
492,188,367000000,1.179697258,2.606222789,-3.093361633
493,188,467000000,1.155456220,2.605045696,-3.093389236
494,188,534000000,1.128037048,2.603727835,-3.093355665
495,188,634000000,1.101481589,2.602435717,-3.093408222
496,188,701000000,1.070434156,2.600942074,-3.093410409
497,188,802000000,1.046878205,2.599813659,-3.093321589
498,188,900000000,1.026141477,2.598799190,-3.093407669
499,188,967000000,0.996018748,2.597308372,-3.093722758
500,189,0,0.974725043,2.596271219,-3.093876453
501,189,34000000,0.945393033,2.594859245,-3.093996379
502,189,68000000,0.915656554,2.593435345,-3.094087237
503,189,100000000,0.875718137,2.591530257,-3.094186519
504,189,134000000,0.842155061,2.589937883,-3.094219351
505,189,167000000,0.792177717,2.587570618,-3.094246153
506,189,200000000,0.755998232,2.585859995,-3.094234912
507,189,234000000,0.704884031,2.583446729,-3.094118379
508,189,267000000,0.668197420,2.581695304,-3.094146011
509,189,300000000,0.624198888,2.579619464,-3.094041270
510,189,334000000,0.597310808,2.578339967,-3.093997240
511,189,367000000,0.552835580,2.576216896,-3.094038046
512,189,400000000,0.507335640,2.574052414,-3.094064028
513,189,434000000,0.458518694,2.571749732,-3.093930180
514,189,467000000,0.420193025,2.569957272,-3.093596551
515,189,500000000,0.388422926,2.568474274,-3.093197606
516,189,534000000,0.361224728,2.567209479,-3.092739738
