stamp_sec,stamp_nanosec,frame_id,child_frame_id,x_m,y_m,yaw_rad,vx_mps,vy_mps,yaw_rate_rps
47,937000000,odom_imu_lidar_fused,base_link,5.660907285,4.850801612,1.534581604,0.098864265,0.023530359,0.399071606
48,303000000,odom_imu_lidar_fused,base_link,5.626951166,4.736402551,1.650526301,-0.102277468,-0.344575483,0.421564716
48,569000000,odom_imu_lidar_fused,base_link,5.574834334,4.639557566,1.761963773,-0.209304544,-0.388935685,0.318788343
48,857000000,odom_imu_lidar_fused,base_link,5.530195906,4.708827376,1.856285596,-0.134453099,0.208644008,0.238183245
49,163000000,odom_imu_lidar_fused,base_link,5.514383838,4.648546932,1.805362938,-0.047626711,-0.181567604,0.180968211
49,469000000,odom_imu_lidar_fused,base_link,5.493448287,4.616672414,1.746832535,-0.084078515,-0.128010110,0.145614352
49,802000000,odom_imu_lidar_fused,base_link,5.471625857,4.634047212,1.675477040,-0.065730213,0.052333729,0.109674767
50,54000000,odom_imu_lidar_fused,base_link,5.456147818,4.703047343,1.632434349,-0.062160797,0.277108958,0.083753933
50,366000000,odom_imu_lidar_fused,base_link,5.478151586,5.003195282,1.617724482,0.066276409,0.904060058,0.063359516
50,700000000,odom_imu_lidar_fused,base_link,5.466831244,5.042763931,1.608238908,-0.034097416,0.119182676,0.040137907
50,942000000,odom_imu_lidar_fused,base_link,5.466757835,5.039580961,1.610916376,-0.000294813,-0.012783010,0.031087757
51,199000000,odom_imu_lidar_fused,base_link,5.461915939,5.053478171,1.611235460,-0.019445368,0.055812089,0.130633080
51,432000000,odom_imu_lidar_fused,base_link,5.456393651,5.062501071,1.617996977,-0.022177865,0.036236547,0.251809800
51,787000000,odom_imu_lidar_fused,base_link,5.452552227,5.093947790,1.751977283,-0.011570553,0.094719031,0.393939931
52,40000000,odom_imu_lidar_fused,base_link,5.416322218,5.165467846,1.916862511,-0.145502043,0.287229144,0.383843291
52,338000000,odom_imu_lidar_fused,base_link,5.341409667,5.232905189,2.177467350,-0.225640216,0.203124525,0.284683391
52,617000000,odom_imu_lidar_fused,base_link,5.104018019,5.495088452,2.237688192,-0.953380111,1.052944833,0.208615272
52,912000000,odom_imu_lidar_fused,base_link,5.212741987,5.358096749,2.210520970,0.327481833,-0.412625613,0.158505598
53,159000000,odom_imu_lidar_fused,base_link,4.870027285,5.715315629,2.232341511,-1.376364266,1.434613976,0.118213116
53,446000000,odom_imu_lidar_fused,base_link,4.868698575,5.757859241,2.221540264,-0.005336187,0.170857881,0.082173104
53,717000000,odom_imu_lidar_fused,base_link,4.851325241,5.825262459,2.214256800,-0.069772424,0.270695652,0.135591123
54,6000000,odom_imu_lidar_fused,base_link,4.823113267,5.847226254,2.215852203,-0.084975825,0.066156011,0.259780714
54,297000000,odom_imu_lidar_fused,base_link,4.788678910,5.857799283,2.306615126,-0.138290592,0.042461965,0.199346094
54,557000000,odom_imu_lidar_fused,base_link,4.732530057,5.880594150,2.445084084,-0.225497401,0.091545648,0.153002797
54,857000000,odom_imu_lidar_fused,base_link,4.673481371,5.883081307,2.448841077,-0.177857488,0.007491436,0.115199653
55,181000000,odom_imu_lidar_fused,base_link,4.594047889,5.913036181,2.435992879,-0.239257475,0.090225524,0.079640504
55,429000000,odom_imu_lidar_fused,base_link,4.522510027,5.933845639,2.425413682,-0.287300654,0.083572124,0.061492250
55,655000000,odom_imu_lidar_fused,base_link,4.448900796,5.967411307,2.413119161,-0.295619400,0.134801880,0.046640612
55,939000000,odom_imu_lidar_fused,base_link,4.354186726,5.993532467,2.399390990,-0.380377791,0.104904255,0.034218060
56,210000000,odom_imu_lidar_fused,base_link,4.233390093,6.057104778,2.387904062,-0.485127042,0.255310486,-0.213580577
56,446000000,odom_imu_lidar_fused,base_link,4.120394822,6.107506691,2.370943025,-0.453796267,0.202417321,-0.368822519
56,730000000,odom_imu_lidar_fused,base_link,3.892816329,6.399221907,2.083578201,-0.685477387,0.878660290,-0.160313939
57,112000000,odom_imu_lidar_fused,base_link,3.872519481,6.504661589,2.012690130,-0.061135085,0.317589403,0.047411511
57,392000000,odom_imu_lidar_fused,base_link,3.862426065,6.527322122,2.199115223,-0.030401856,0.068254618,0.037809464
57,701000000,odom_imu_lidar_fused,base_link,3.826839911,6.526603468,2.287947346,-0.142916281,-0.002886162,0.029204940
57,957000000,odom_imu_lidar_fused,base_link,3.801980869,6.537665644,2.280233454,-0.074876633,0.033319810,0.015936082
58,211000000,odom_imu_lidar_fused,base_link,3.771864283,6.565850559,2.270047372,-0.120950145,0.113192430,0.007519130
58,496000000,odom_imu_lidar_fused,base_link,3.754356437,6.585301749,2.259617276,-0.070312631,0.078117227,0.008623563
58,761000000,odom_imu_lidar_fused,base_link,3.712280501,6.612300030,2.245029175,-0.168979665,0.108426831,0.003041304
59,44000000,odom_imu_lidar_fused,base_link,3.666309128,6.659950903,2.223864537,-0.138467991,0.143526727,-0.000415075
59,281000000,odom_imu_lidar_fused,base_link,3.636501629,6.689216129,2.214299821,-0.179563243,0.176296539,-0.000560288
59,538000000,odom_imu_lidar_fused,base_link,3.587063546,6.731585121,2.187659073,-0.148909889,0.127617446,0.005786456
59,788000000,odom_imu_lidar_fused,base_link,3.556117714,6.765494684,2.166223553,-0.124280449,0.136182987,0.004951516
60,94000000,odom_imu_lidar_fused,base_link,3.528032916,6.810764102,2.142540294,-0.112790355,0.181804888,0.001484692
60,514000000,odom_imu_lidar_fused,base_link,3.503724106,6.869033285,2.115416352,-0.058575446,0.140407671,0.004603159
60,781000000,odom_imu_lidar_fused,base_link,3.486227146,6.926994423,2.090891746,-0.070268916,0.232775656,0.000078230
61,43000000,odom_imu_lidar_fused,base_link,3.465751035,7.001828082,2.064754653,-0.061675031,0.225402586,-0.002264330
61,343000000,odom_imu_lidar_fused,base_link,3.454314012,7.071699960,2.045234080,-0.045931821,0.280609953,-0.002368028
61,630000000,odom_imu_lidar_fused,base_link,3.463335716,7.176875539,2.012483024,0.027173808,0.316793911,0.001320459
61,909000000,odom_imu_lidar_fused,base_link,3.469683322,7.268200468,1.987415514,0.025492391,0.366766786,0.001970013
62,193000000,odom_imu_lidar_fused,base_link,3.464853486,7.291775592,1.985785645,-0.014547696,0.071009409,0.004470259
62,455000000,odom_imu_lidar_fused,base_link,3.475189781,7.293943184,1.987477775,0.041511222,0.008705189,0.006282691
62,693000000,odom_imu_lidar_fused,base_link,3.464046811,7.288961992,1.985023185,-0.044750883,-0.020004789,0.004592411
62,958000000,odom_imu_lidar_fused,base_link,3.464066825,7.279029248,1.984860587,0.000080376,-0.039890539,0.005344794
63,226000000,odom_imu_lidar_fused,base_link,3.453967550,7.282486617,1.986514982,-0.040559335,0.013885015,0.002399476
63,474000000,odom_imu_lidar_fused,base_link,3.459922977,7.287563560,1.990394099,0.023917376,0.020389333,-0.001540676
