stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
45,744000000,0.417620832,-1.257890680,9.812442406,-0.008625601,-0.001766728,0.292055502,-0.000000000,-0.000000000,-0.787509178,0.616302924
45,752000000,0.691966476,-0.250756686,9.766808712,0.013822149,0.009654314,0.337264592,-0.000000000,-0.000000000,-0.786764899,0.617252780
45,760000000,0.828714863,-0.254876903,9.698841540,-0.013524017,0.011989101,0.322247819,-0.000000000,-0.000000000,-0.785952069,0.618287429
45,768000000,0.478475954,-1.343942858,9.852825989,-0.012712620,0.005325217,0.348230411,-0.000000000,-0.000000000,-0.785076088,0.619399335
45,776000000,0.580401265,-0.167977794,9.685697173,-0.001683919,0.004667047,0.374805469,-0.000000000,-0.000000000,-0.784145818,0.620576615
45,784000000,0.950754233,-0.204495344,9.710770662,0.000169276,0.009808439,0.414449165,-0.000000000,-0.000000000,-0.783153944,0.621827871
45,792000000,1.088258685,-0.316479816,9.872424362,0.010296685,-0.009588553,0.441821818,-0.000000000,-0.000000000,-0.782067360,0.623193906
45,800000000,1.200514510,-0.263556416,9.769129632,0.000014430,0.026185319,0.483300280,-0.000000000,-0.000000000,-0.780887950,0.624671121
45,808000000,1.073814151,-0.196126218,9.738598256,-0.010531774,0.010853915,0.509562313,-0.000000000,-0.000000000,-0.779627551,0.626243469
45,816000000,-1.033695740,5.311295912,9.878352597,0.003600931,0.004753900,0.481897429,-0.000000000,-0.000000001,-0.778415506,0.627749393
45,824000000,-1.177371865,5.264322767,9.861949977,-0.009844718,0.013369231,0.431039645,0.000000000,-0.000000001,-0.777301223,0.629128610
45,832000000,-0.530079635,2.292206427,9.947633959,-0.005731446,-0.003471562,0.397002918,0.000000001,-0.000000002,-0.776279560,0.630388804
45,840000000,-1.419588485,4.998790726,9.730257748,-0.012400812,-0.012043141,0.357735943,0.000000001,-0.000000002,-0.775352177,0.631529098
45,848000000,-0.408356177,2.436526007,9.884381499,0.002014381,-0.011458602,0.309026738,0.000000001,-0.000000002,-0.774511444,0.632559896
45,856000000,-1.339932981,5.400971977,9.907960547,0.025195751,0.026898908,0.289640464,0.000000002,-0.000000002,-0.773785200,0.633448075
45,864000000,-1.608811677,5.578673008,9.923977038,-0.010987900,-0.025451419,0.235445453,0.000000002,-0.000000002,-0.773158085,0.634213352
45,872000000,-1.347577861,5.145183032,9.675157447,0.009139878,0.011502267,0.183080129,0.000000002,-0.000000002,-0.772631809,0.634854383
45,880000000,-1.247922157,5.260677922,9.921266572,0.006961532,-0.000995272,0.150337935,0.000000002,-0.000000003,-0.772212064,0.635364878
45,888000000,-0.872754040,4.903657785,9.712997190,-0.014108558,0.023064655,0.131041168,0.000000002,-0.000000003,-0.771876968,0.635771929
45,896000000,-1.030428866,5.240358273,9.843449175,0.017215587,0.013850685,0.085023998,0.000000003,-0.000000003,-0.771620962,0.636082614
45,904000000,-0.958786680,5.374361972,9.680737717,0.015106544,0.013535914,0.069429806,0.000000003,-0.000000003,-0.771415681,0.636331554
45,912000000,-0.663947853,4.353879579,9.754620029,-0.013512411,-0.009722056,0.072546398,0.000000003,-0.000000003,-0.771263043,0.636516550
45,920000000,1.358087094,4.966078296,9.803016821,0.005157271,0.019315454,0.050363586,0.000000003,-0.000000003,-0.771148831,0.636654915
