monitor_t_s,monitor_monotonic_s,in_active_window,phase,expected_motor_speed_pct,expected_motor_duty_cycle_ns,actual_motor_duty_cycle_ns,duty_cycle_delta_ns,expected_motor_enabled,actual_motor_enabled,motor_enabled_mismatch,expected_steering_duty_cycle_ns,actual_steering_duty_cycle_ns,expected_steering_enabled,actual_steering_enabled
4.560627516000068,1845.463571714,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.580980757000134,1845.483924955,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.601362257000119,1845.504306455,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.621701108000025,1845.524645306,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.642046145000222,1845.544990343,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.662405905000014,1845.565350103,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.682749738000211,1845.585693936,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.703463127000077,1845.606407325,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.723852608000016,1845.626796806,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.744191664000027,1845.647135862,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.764534108000134,1845.667478306,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.784900127000128,1845.687844325,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.805256830000189,1845.708201028,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.825545868000063,1845.728490066,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.845835923000095,1845.748780121,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.866176923000012,1845.769121121,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.8865119420001975,1845.78945614,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.9068428860000495,1845.809787084,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.9271788860000925,1845.830123084,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.947548108000092,1845.850492306,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.967887923000035,1845.870832121,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
4.988221645000067,1845.891165843,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.008558645000221,1845.911502843,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.028923497000051,1845.931867695,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.049290312000039,1845.95223451,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.0704617930000495,1845.973405991,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.0908284410002125,1845.993772639,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.1111771640000825,1846.014121362,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.131543534000002,1846.034487732,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.1518906640001205,1846.054834862,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.172262701000136,1846.075206899,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.192622145000087,1846.095566343,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.2129554230000394,1846.115899621,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.233315275000223,1846.136259473,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.253643423000085,1846.156587621,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.273976867000101,1846.176921065,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.294315867000023,1846.197260065,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.31466346000002,1846.217607658,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.335003775000132,1846.237947973,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.355348034000144,1846.258292232,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.37570134900011,1846.278645547,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.396041812000021,1846.29898601,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.416378589000033,1846.319322787,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.436714700000039,1846.339658898,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.457069441000158,1846.360013639,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.478885163000086,1846.381829361,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.499267719000045,1846.402211917,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.519642775000193,1846.422586973,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
5.540009052000187,1846.44295325,1,drive_pulse,40.0,1700000,1700000,0,1,1,0,1640000,1640000,1,1
