x_m,y_m,hit_count
-6.433488778,0.453950038,20
-6.432913102,0.498148814,4
-6.438093110,0.528086175,2
-6.414466614,0.699617224,2
-6.425589502,0.859003950,1
-6.425890778,0.987478295,1
-6.429264100,1.020952259,2
-6.423193676,1.183940386,1
-6.430879726,1.338834316,1
-6.428576236,1.488830924,4
-6.438142862,1.545216953,1
-6.414551241,1.562099076,1
-6.411970922,1.646876305,2
-6.406748502,1.694150463,1
-6.408935048,1.755480366,1
-6.402348877,1.774515988,1
-6.406298253,1.862900035,1
-6.424429669,1.956206470,1
-6.386162373,-0.292349717,1
-6.362220010,-0.181931441,1
-6.387732600,-0.070806333,1
-6.393147314,0.031065412,1
-6.397026060,0.124864446,1
-6.360888815,0.221070214,1
-6.384973507,0.251304786,2
-6.368542328,0.335890020,40
-6.365872649,0.381496047,6
-6.371091213,0.417065853,3
-6.386283891,0.897901549,2
-6.377538957,1.067009220,1
-6.393153061,1.212583465,1
-6.399538104,1.357950217,1
-6.377343228,1.378713231,1
-6.383866311,1.511556992,2
-6.378595624,1.537349331,8
-6.386523613,1.668849538,1
-6.384879304,1.693977919,2
-6.367532316,1.744416606,1
-6.361339926,1.846055485,1
-6.397578401,1.892030859,1
-6.381218635,1.929455448,1
-6.372861971,1.971764697,2
-6.351250660,-0.262852430,1
-6.323418873,-0.071655416,1
-6.323815908,0.027517307,1
-6.340143346,0.119545236,2
-6.344500169,0.317627773,1
-6.351026707,0.335967542,29
-6.351598902,0.379494952,5
-6.350131921,0.410171480,3
-6.328965614,0.595562522,1
-6.354294425,0.751543735,1
-6.331315331,0.944180261,1
-6.336064484,1.100054241,1
-6.345450842,1.249576173,2
-6.348360599,1.400675673,1
-6.345817006,1.552288640,1
-6.337115361,1.701202058,2
-6.355407802,1.753751123,1
-6.343853406,1.837158538,1
-6.344339781,1.847642080,3
-6.329106840,1.907994225,1
-6.342030950,1.945297249,1
-6.358361760,1.986224519,1
-6.349759413,2.008062045,2
-6.322746349,2.041513452,1
-6.291102528,-0.288990716,1
-6.301139162,-0.242556122,1
-6.310838664,-0.183510022,1
-6.291366911,-0.079259580,1
-6.290656151,0.115671859,1
-6.299868433,0.217591190,2
-6.309188029,0.313607672,1
-6.285895924,0.648751776,1
-6.318158312,0.788209071,1
-6.287474445,0.828580551,2
-6.298958607,0.969804599,1
-6.298664408,1.128981162,1
-6.302543648,1.279488955,1
-6.295033763,1.440771576,1
-6.305060999,1.580219709,2
-6.294036563,1.665256518,1
-6.296173512,1.731278788,1
-6.316452755,1.862314870,1
-6.307694840,1.898401151,3
-6.310876644,1.926173846,2
-6.294617074,2.011790770,2
-6.262560133,-0.226177866,1
-6.272404831,-0.182421223,1
-6.257911561,0.021997698,1
-6.260873690,0.110048996,3
-6.248879609,0.220340694,30
-6.244526799,0.256545230,4
-6.261625223,0.294047098,3
-6.271041212,0.826833295,2
-6.246203695,0.858637932,1
-6.265939772,1.002047437,1
-6.273626695,1.152612134,1
-6.245656064,1.175295269,1
-6.254057516,1.322671388,1
-6.262993487,1.462401739,1
-6.241227874,1.481186693,1
-6.246857786,1.761718566,2
-6.261623694,1.897369924,2
-6.260104791,1.990032199,1
-6.268748201,2.011622288,1
-6.251138129,2.050021300,3
-6.248346904,2.099316221,2
-6.255912715,2.141778614,1
-6.222384157,-0.219307114,1
-6.209364598,-0.181318154,1
-6.220192022,0.099738332,1
-6.230357983,0.218306511,41
-6.234086949,0.262225918,7
-6.233219936,0.294627758,4
